fecha_alta,estado_usuaria,edad,servicio,sexo
1,14,52,1,0
2,14,23,1,0
3,14,67,3,0
4,22,56,1,1
5,14,48,3,0
6,14,42,3,1
7,14,46,1,1
8,14,28,1,1
9,14,28,3,0
10,14,41,3,1
11,22,40,1,0
12,14,41,1,0
13,14,41,1,1
14,14,55,3,0
15,14,36,1,1
16,22,39,3,0
17,14,41,1,0
18,22,40,1,0
19,22,51,2,1
20,14,55,3,0
21,14,45,3,0
22,14,39,3,0
23,14,47,3,0
24,14,36,1,0
25,14,41,1,0
26,14,41,1,1
27,14,41,1,1
28,14,22,3,1
29,22,55,3,0
30,14,42,3,1
31,14,41,3,1
32,12,19,2,1
33,14,43,2,0
34,14,23,3,0
35,14,27,1,1
36,22,39,3,0
37,14,45,2,1
38,14,31,3,0
39,22,41,1,0
40,22,55,3,0
41,14,31,3,0
42,14,33,3,1
43,14,35,1,0
44,14,32,3,0
45,26,43,3,0
46,14,26,2,1
47,14,25,2,0
48,22,36,1,0
49,22,40,3,1
50,22,55,3,0
51,14,57,1,0
52,14,29,2,0
53,22,48,1,0
54,14,57,3,0
55,14,54,2,1
56,14,52,2,0
57,14,43,1,0
58,14,68,3,0
59,14,55,2,0
60,14,62,1,0
61,14,35,3,1
62,14,19,3,0
63,14,35,3,0
64,22,53,3,1
65,14,59,2,1
66,14,15,1,0
67,14,45,3,0
68,14,20,2,0
69,14,34,2,0
70,22,63,1,0
71,14,47,1,1
72,14,37,2,1
73,14,32,3,1
74,14,53,2,1
75,14,43,1,0
76,14,42,1,0
77,14,46,3,0
78,14,32,3,1
79,14,74,2,0
80,14,71,1,0
81,14,77,3,0
82,22,52,2,1
83,14,43,1,0
84,14,85,2,1
85,14,47,3,1
86,58,22,3,0
87,14,76,2,0
88,14,66,2,0
89,14,30,3,0
90,14,75,1,1
91,14,47,2,0
92,14,37,2,0
93,14,35,3,1
94,14,23,1,0
95,14,72,1,0
96,14,22,1,0
97,25,58,2,0
98,14,38,3,1
99,14,38,3,0
100,22,23,1,1
101,14,72,3,0
102,14,47,1,1
103,22,22,1,0
104,14,62,1,1
105,14,28,3,1
106,14,77,1,0
107,14,68,1,1
108,14,57,2,0
109,27,57,3,0
110,14,57,3,1
111,22,28,3,0
112,14,45,2,0
113,14,41,3,1
114,14,25,1,1
115,14,25,1,1
116,14,25,2,0
117,14,23,3,1
118,14,75,1,1
119,14,24,3,1
120,14,62,3,0
121,22,35,3,0
122,14,57,1,1
123,14,23,1,0
124,14,41,1,1
125,14,40,3,1
126,14,61,1,0
127,14,49,1,1
128,22,57,3,0
129,14,27,3,1
130,14,28,3,0
131,14,50,1,0
132,14,54,3,0
133,14,72,3,1
134,14,22,1,1
135,14,32,1,1
136,14,34,3,1
137,14,23,1,0
138,42,30,3,0
139,14,23,1,0
140,14,65,1,1
141,14,36,1,0
142,14,50,3,0
143,14,46,1,0
144,14,23,1,0
145,14,38,1,0
146,14,62,1,1
147,14,31,3,1
148,14,35,3,1
149,14,23,1,0
150,22,56,3,1
151,14,36,3,1
152,14,47,1,1
153,22,38,1,0
154,14,23,1,1
155,14,21,2,0
156,14,35,3,1
157,14,25,3,1
158,22,29,1,0
159,14,46,3,0
160,14,49,3,0
161,14,56,3,0
162,14,47,3,0
163,14,42,2,0
164,14,23,1,0
165,14,38,1,0
166,34,31,1,0
167,14,61,1,0
168,14,23,2,1
169,14,32,3,0
170,14,77,3,1
171,14,49,3,0
172,14,35,2,0
173,14,72,3,1
174,14,35,2,0
175,14,34,2,0
176,22,56,1,0
177,14,55,3,0
178,14,54,3,0
179,14,34,3,0
180,14,37,1,0
181,14,20,1,1
182,22,42,2,1
183,14,45,3,1
184,14,35,2,0
185,14,23,1,0
186,14,23,1,0
187,50,37,3,1
188,14,53,2,0
189,14,36,1,0
190,14,41,1,1
191,22,41,1,0
192,22,35,3,1
193,14,22,1,1
194,14,35,2,0
195,14,41,2,0
196,14,52,2,0
197,14,26,2,0
198,14,28,1,0
199,22,56,3,0
200,14,39,2,0
201,14,44,1,0
202,14,54,1,1
203,14,23,1,0
204,14,66,3,0
205,14,23,1,1
206,22,49,3,0
207,22,24,3,0
208,14,22,1,1
209,22,68,2,0
210,14,71,1,1
211,14,62,3,1
212,22,47,3,1
213,34,15,3,1
214,14,45,1,0
215,14,45,3,0
216,14,26,1,1
217,22,42,1,0
218,14,31,1,0
219,14,48,1,1
220,14,28,2,1
221,14,61,1,0
222,14,24,1,0
223,14,24,1,0
224,22,53,1,0
225,14,50,3,1
226,14,52,2,1
227,14,25,2,0
228,14,52,1,0
229,14,57,2,0
230,14,50,3,0
231,14,29,3,0
232,14,52,2,0
233,14,37,3,0
234,14,24,3,0
235,14,22,3,0
236,14,45,1,0
237,14,54,2,0
238,14,33,3,1
239,14,22,3,0
240,14,45,3,0
241,14,37,2,1
242,14,37,1,0
243,14,39,1,1
244,14,74,2,0
245,14,32,2,1
246,22,22,1,1
247,14,40,1,1
248,14,41,2,1
249,14,41,2,0
250,14,43,2,0
251,14,29,2,0
252,22,62,1,1
253,14,44,1,0
254,14,69,2,0
255,14,49,2,0
256,14,36,1,1
257,14,35,1,0
258,14,79,3,0
259,14,28,2,0
260,14,49,1,0
261,14,22,2,0
262,14,59,2,0
263,14,40,1,1
264,14,59,1,0
265,14,44,1,1
266,14,83,2,1
267,14,32,1,0
268,14,32,1,0
269,14,48,2,0
270,14,22,1,1
271,14,60,1,0
272,14,26,1,1
273,22,70,3,0
274,14,70,3,0
275,22,23,2,0
276,14,45,1,1
277,14,59,3,0
278,14,35,1,0
279,22,52,1,1
280,14,52,2,0
281,27,58,2,0
282,14,35,1,1
283,14,37,1,0
284,14,40,3,1
285,14,39,2,0
286,14,40,2,1
287,14,52,1,1
288,14,24,2,0
289,22,34,1,0
290,14,60,1,0
291,14,53,2,0
292,22,56,3,0
293,14,29,3,0
294,14,41,3,0
295,14,25,1,1
296,14,26,1,0
297,22,52,2,1
298,14,42,2,0
299,14,45,3,0
300,14,52,2,0
301,14,24,1,1
302,14,35,3,0
303,22,30,1,0
304,14,39,2,0
305,14,22,1,1
306,14,15,1,0
307,14,25,2,1
308,14,36,1,0
309,22,30,1,0
310,14,23,1,1
311,14,65,1,0
312,14,42,1,1
313,14,35,1,1
314,14,49,1,0
315,14,38,1,1
316,22,45,3,0
317,14,39,1,1
318,22,42,1,0
319,14,22,1,1
320,14,22,1,1
321,14,28,3,0
322,14,35,1,0
323,14,55,1,0
324,49,24,3,0
325,14,50,1,0
326,14,49,1,1
327,14,35,1,1
328,14,55,1,0
329,14,44,1,0
330,22,25,1,1
331,22,33,3,0
332,14,45,3,0
333,14,43,3,0
334,14,60,3,1
335,14,29,1,0
336,14,38,3,1
337,14,20,1,1
338,14,41,1,1
339,14,41,3,1
340,14,54,3,0
341,14,37,1,1
342,14,66,3,0
343,14,35,3,0
344,14,41,3,1
345,14,48,1,0
346,14,66,1,1
347,14,37,3,1
348,14,36,3,1
349,14,38,1,0
350,14,90,1,0
351,14,59,2,1
352,14,45,1,0
353,14,48,1,0
354,14,51,1,1
355,14,41,3,1
356,14,29,3,0
357,14,45,2,1
358,14,53,3,0
359,22,26,1,0
360,14,59,3,1
361,14,40,3,1
362,14,41,3,1
363,14,22,1,1
