fecha_alta,estado_usuaria,edad,servicio,sexo
1,14,39,2,0
2,50,37,3,1
3,14,25,2,0
4,14,57,1,0
5,14,53,2,1
6,14,43,1,0
7,14,42,1,0
8,14,46,3,0
9,14,32,3,1
10,14,74,2,0
11,14,32,3,1
12,14,19,3,0
13,14,47,3,0
14,14,43,1,0
15,14,85,2,1
16,14,47,3,1
17,14,76,2,0
18,14,66,2,0
19,14,26,2,1
20,14,41,1,1
21,14,45,3,0
22,14,55,3,0
23,14,33,3,1
24,14,35,3,0
25,14,27,1,1
26,14,32,3,0
27,14,36,1,0
28,14,39,3,0
29,14,67,3,0
30,14,48,3,0
31,14,77,3,0
32,14,42,3,1
33,14,28,1,1
34,14,41,3,1
35,14,47,3,0
36,14,41,1,0
37,14,55,3,0
38,14,36,1,1
39,14,41,1,0
40,14,28,3,0
41,14,46,1,1
42,14,37,2,1
43,14,47,1,1
44,14,34,2,0
45,14,53,2,0
46,14,49,1,0
47,14,41,3,0
48,14,25,1,1
49,14,22,1,1
50,14,26,1,0
51,14,42,2,0
52,14,29,3,0
53,14,15,1,0
54,14,52,2,0
55,14,39,2,0
56,14,65,1,0
57,14,22,1,1
58,14,52,1,1
59,14,83,2,1
60,14,32,1,0
61,14,43,2,0
62,14,60,1,0
63,14,35,3,0
64,14,71,1,0
65,14,24,2,0
66,14,45,3,1
67,14,35,1,0
68,14,55,2,0
69,14,57,3,0
70,14,54,2,1
71,14,52,2,0
72,14,43,1,0
73,14,68,3,0
74,14,46,1,0
75,14,55,3,0
76,14,29,2,0
77,14,35,3,1
78,14,59,2,1
79,14,15,1,0
80,14,45,3,0
81,27,57,3,0
82,14,20,2,0
83,14,34,2,0
84,14,61,1,0
85,14,62,1,0
86,14,31,3,0
87,14,31,3,0
88,14,45,2,1
89,14,38,3,1
90,14,38,3,0
91,14,25,1,1
92,14,47,2,0
93,14,57,3,1
94,14,62,1,1
95,14,77,1,0
96,14,68,1,1
97,14,22,1,0
98,14,57,2,0
99,14,72,3,0
100,14,35,3,1
101,14,72,3,1
102,14,32,1,1
103,14,25,3,1
104,34,31,1,0
105,34,15,3,1
106,27,58,2,0
107,14,28,3,1
108,14,46,3,0
109,14,72,1,0
110,14,23,1,0
111,14,25,2,0
112,14,23,3,1
113,14,75,1,1
114,14,62,3,0
115,14,24,3,1
116,14,57,1,1
117,14,25,1,1
118,14,41,1,1
119,14,47,1,1
120,14,61,1,0
121,14,27,3,1
122,14,28,3,0
123,14,50,1,0
124,14,54,3,0
125,14,50,3,0
126,14,38,1,0
127,14,45,2,0
128,14,41,3,1
129,14,49,1,1
130,14,60,1,0
131,14,49,3,0
132,14,38,1,0
133,14,42,2,0
134,14,31,3,1
135,14,35,3,1
136,14,23,1,0
137,14,36,3,1
138,14,23,1,0
139,14,37,2,0
140,14,75,1,1
141,14,62,1,1
142,14,30,3,0
143,14,41,1,1
144,14,22,3,1
145,14,42,3,1
146,14,41,3,1
147,14,43,2,0
148,58,22,3,0
149,14,41,1,0
150,14,23,3,0
151,14,41,1,1
152,14,56,3,0
153,14,23,1,0
154,14,40,3,1
155,14,23,1,0
156,14,35,3,1
157,14,23,1,0
158,14,23,2,1
159,14,32,3,0
160,14,77,3,1
161,14,49,3,0
162,14,35,2,0
163,14,23,1,1
164,14,72,3,1
165,14,22,1,1
166,14,21,2,0
167,14,47,1,1
168,14,34,3,1
169,14,23,1,0
170,14,23,1,0
171,14,65,1,1
172,14,36,1,0
173,14,32,1,0
174,14,48,2,0
175,14,45,3,0
176,14,70,3,0
177,22,23,1,1
178,22,28,3,0
179,22,22,1,0
180,22,35,3,0
181,22,53,3,1
182,22,55,3,0
183,22,51,2,1
184,22,63,1,0
185,14,23,1,0
186,14,61,1,0
187,14,24,1,0
188,14,24,1,0
189,14,32,2,1
190,14,52,2,1
191,14,40,1,1
192,14,26,1,1
193,14,29,2,0
194,22,39,3,0
195,22,41,1,0
196,22,55,3,0
197,22,56,1,1
198,22,47,3,1
199,22,68,2,0
200,22,49,3,0
201,22,22,1,1
202,22,42,1,0
203,22,56,3,0
204,22,42,2,1
205,22,56,1,0
206,14,44,1,0
207,22,35,3,1
208,22,39,3,0
209,14,40,2,1
210,22,48,1,0
211,22,40,3,1
212,22,52,2,1
213,22,36,1,0
214,22,40,1,0
215,22,40,1,0
216,22,41,1,0
217,14,74,2,0
218,14,69,2,0
219,14,36,1,1
220,22,42,1,0
221,22,45,3,0
222,22,30,1,0
223,22,56,3,0
224,22,30,1,0
225,22,52,1,1
226,22,53,1,0
227,22,62,1,1
228,22,52,2,1
229,22,24,3,0
230,22,70,3,0
231,14,54,2,0
232,14,33,3,1
233,14,22,3,0
234,14,45,3,0
235,14,40,1,1
236,42,30,3,0
237,12,19,2,1
238,22,23,2,0
239,22,57,3,0
240,22,34,1,0
241,14,22,3,0
242,14,35,1,0
243,14,79,3,0
244,14,28,2,0
245,14,49,1,0
246,14,22,2,0
247,14,49,2,0
248,14,39,1,1
249,14,37,1,0
250,14,45,1,0
251,14,37,2,1
252,14,25,2,0
253,14,52,1,0
254,14,50,3,0
255,14,41,2,1
256,14,29,3,0
257,14,52,2,0
258,14,37,3,0
259,14,24,3,0
260,14,26,1,1
261,22,29,1,0
262,22,55,3,0
263,22,38,1,0
264,14,59,1,0
265,14,44,1,1
266,14,55,1,0
267,14,44,1,0
268,14,35,1,1
269,14,49,1,1
270,14,50,1,0
271,14,55,1,0
272,14,22,1,1
273,14,22,1,1
274,14,28,3,0
275,25,58,2,0
276,14,39,1,1
277,14,38,1,1
278,14,59,2,0
279,14,35,1,1
280,14,24,1,1
281,14,42,1,1
282,22,56,3,1
283,26,43,3,0
284,14,41,2,0
285,14,36,1,0
286,14,25,2,1
287,14,45,1,1
288,14,40,3,1
289,14,37,1,0
290,14,35,1,1
291,14,52,2,0
292,14,35,1,0
293,14,59,3,0
294,14,23,1,1
295,14,44,1,0
296,14,35,1,0
297,14,23,1,0
298,49,24,3,0
299,14,35,2,0
300,14,26,2,0
301,14,35,2,0
302,14,53,2,0
303,14,54,1,1
304,14,36,1,0
305,14,41,1,1
306,14,22,1,1
307,14,35,2,0
308,14,20,1,1
309,14,37,1,0
310,14,34,3,0
311,14,54,3,0
312,14,28,1,0
313,14,52,2,0
314,14,71,1,1
315,14,23,1,0
316,14,23,1,1
317,14,41,2,0
318,14,57,2,0
319,14,39,2,0
320,14,28,2,1
321,14,62,3,1
322,14,22,1,1
323,14,50,3,1
324,14,45,3,0
325,14,52,1,0
326,14,31,1,0
327,14,48,1,1
328,14,45,1,0
329,14,66,3,0
330,14,30,1,1
331,14,56,3,0
332,14,70,3,0
333,14,28,2,1
334,14,25,2,0
335,14,56,3,0
336,14,30,1,1
337,14,36,1,1
338,14,48,2,0
339,14,47,1,0
340,14,19,1,1
341,14,60,1,1
342,14,38,3,1
343,14,56,3,0
344,14,56,3,0
345,14,56,3,0
346,14,35,3,0
347,14,34,2,0
348,14,56,3,0
349,14,45,3,0
350,14,36,1,0
351,14,56,3,0
352,14,43,3,0
353,14,57,1,1
354,14,41,3,1
355,14,60,3,1
356,14,35,3,0
357,14,51,1,1
358,14,41,3,1
359,14,48,1,0
360,14,37,3,1
361,14,66,1,1
362,14,41,3,1
363,14,66,3,0
364,14,20,1,1
365,14,37,1,1
366,14,38,1,0
367,14,36,3,1
368,14,41,1,1
369,14,29,1,0
370,14,46,3,1
371,14,45,3,0
372,31,61,1,0
373,48,20,2,0
374,14,54,3,0
375,14,42,2,1
376,14,56,3,0
377,14,48,3,1
378,14,56,3,0
379,14,26,1,0
380,14,33,1,0
381,14,60,1,0
382,14,50,3,0
383,14,53,2,0
384,14,36,2,0
385,14,35,1,1
386,14,36,2,1
387,14,41,3,1
388,14,45,1,0
389,14,36,3,1
390,14,26,2,0
391,14,34,3,0
392,14,30,1,0
393,14,51,1,0
394,14,57,3,0
395,14,49,3,0
396,14,38,3,1
397,14,32,1,0
398,14,45,3,1
399,14,56,3,1
400,14,48,1,0
401,14,21,1,0
402,14,40,1,1
403,14,46,1,1
404,14,24,1,0
405,14,52,1,1
406,14,25,3,1
407,14,58,2,0
408,14,50,3,0
409,14,38,1,1
410,14,19,1,1
411,14,33,3,0
412,14,50,1,0
413,14,26,2,0
414,14,48,1,0
415,14,40,2,1
416,14,23,1,1
417,14,60,2,0
418,14,53,3,1
419,14,29,3,1
420,14,62,2,0
421,14,76,2,0
422,14,45,3,1
423,14,66,3,0
424,14,45,3,1
425,14,41,3,1
426,14,35,1,0
427,14,45,2,1
428,14,36,3,1
429,14,19,3,0
430,14,24,1,1
431,14,41,3,1
432,14,48,1,0
433,14,29,3,0
434,14,45,2,1
435,14,65,1,0
436,14,23,1,0
437,14,90,1,0
438,14,23,1,0
439,14,36,3,1
440,14,60,2,1
441,14,23,1,0
442,14,52,3,0
443,14,23,1,0
444,14,48,1,0
445,14,55,1,1
446,14,25,1,0
447,14,52,1,0
448,14,43,3,0
449,14,36,1,0
450,14,50,1,0
451,14,45,1,1
452,14,35,1,1
453,14,48,1,0
454,14,31,3,0
455,14,45,3,0
456,14,65,1,1
457,14,59,2,1
458,14,21,1,0
459,14,35,1,0
460,22,29,3,1
461,22,57,2,0
462,22,40,1,0
463,22,58,2,0
464,22,43,3,1
465,22,43,3,1
466,22,19,1,1
467,22,88,2,1
468,22,72,3,0
469,22,44,1,0
470,22,29,1,1
471,22,47,1,1
472,22,43,1,1
473,22,42,1,0
474,22,43,3,0
475,22,44,2,1
476,22,48,1,0
477,22,37,1,0
478,22,44,1,1
479,22,36,1,0
480,22,25,1,1
481,22,33,3,0
482,22,35,3,1
483,22,62,1,1
484,22,58,3,0
485,22,32,1,1
486,22,55,2,0
487,22,57,1,0
488,22,26,1,0
489,22,37,2,1
490,22,24,1,0
491,22,50,1,0
492,22,30,1,1
493,22,41,1,0
494,22,57,3,0
495,22,43,2,0
496,22,38,1,0
497,22,58,2,0
498,22,35,1,1
499,22,59,1,0
500,22,22,3,0
501,21,22,3,1
502,25,20,1,0
503,14,41,1,1
504,14,56,3,0
505,14,77,2,0
506,14,31,1,0
507,22,40,1,0
508,14,40,1,0
509,14,47,1,0
510,14,42,1,1
511,25,25,3,0
512,14,31,3,0
513,14,42,1,1
514,14,60,1,1
515,14,29,3,0
516,14,38,3,0
517,22,55,1,1
518,22,41,1,0
519,22,32,1,0
520,22,34,2,1
521,22,40,1,0
522,22,61,1,0
523,22,57,3,0
524,22,37,1,0
525,22,39,1,1
526,22,11,3,0
527,22,45,2,0
528,22,49,1,0
529,22,40,1,1
530,22,30,2,0
531,22,26,1,0
532,22,48,1,0
533,22,42,2,1
534,22,49,3,1
535,22,47,1,1
536,22,30,1,0
537,14,42,1,1
538,14,53,3,0
539,14,49,3,1
540,14,53,1,0
541,14,30,2,0
542,14,44,1,0
543,14,48,2,1
544,14,59,1,1
545,14,49,1,1
546,14,63,3,1
547,14,63,1,0
548,14,38,2,1
549,14,57,1,0
550,14,57,1,1
551,14,57,1,0
552,14,45,1,0
553,14,58,1,0
554,14,75,2,0
555,14,61,1,0
556,14,34,1,0
557,14,42,1,0
558,14,35,2,1
559,14,26,3,1
560,14,23,1,0
561,14,31,1,0
562,14,15,1,1
563,14,31,3,0
564,14,48,3,0
565,14,40,1,0
566,14,33,1,0
567,14,46,1,1
568,14,35,1,0
569,14,52,1,1
570,14,18,3,1
571,14,29,3,0
572,14,63,3,0
573,14,21,1,1
574,14,42,3,0
575,14,48,3,1
576,14,43,2,1
577,14,35,1,0
578,14,38,3,0
579,14,32,2,0
580,14,39,2,0
581,14,56,2,0
582,14,45,3,0
583,14,62,1,0
584,14,32,2,0
585,14,23,1,0
586,14,49,3,0
587,14,68,2,0
588,14,22,1,0
589,14,52,3,0
590,14,56,3,0
591,14,56,3,0
592,14,56,3,0
593,14,56,3,0
594,14,56,3,0
595,14,56,3,0
596,14,56,3,0
597,14,66,1,0
598,14,43,1,1
599,14,78,2,0
600,14,60,1,1
601,14,52,1,1
602,14,55,1,1
603,14,23,1,0
604,14,69,1,0
605,14,86,1,0
606,14,56,3,1
607,14,38,2,1
608,14,77,1,1
609,14,44,3,0
610,14,58,1,0
611,14,59,1,0
612,14,23,1,0
613,48,43,3,0
614,14,21,3,0
615,14,22,2,1
616,14,45,1,0
617,14,29,2,0
618,14,60,1,0
619,14,27,2,0
620,14,41,3,0
621,14,65,2,0
622,14,31,1,0
623,14,40,3,1
624,14,43,2,0
625,14,44,1,0
626,14,35,3,0
627,14,40,3,1
628,14,35,2,0
629,14,23,1,1
630,14,40,1,1
631,14,85,2,0
632,14,68,3,0
633,14,33,3,0
634,14,50,3,0
635,14,23,1,0
636,14,55,1,0
637,14,60,1,1
638,14,55,3,0
639,14,34,1,0
640,14,25,1,1
641,14,46,2,1
642,14,40,3,1
643,14,33,1,0
644,14,22,1,1
645,14,52,2,0
646,14,49,2,1
647,14,42,2,0
648,14,59,3,1
649,14,57,3,0
650,14,56,2,0
651,14,35,1,0
652,14,67,1,0
653,14,39,1,0
654,14,55,2,0
655,14,40,3,1
656,14,50,1,1
657,14,17,1,0
658,14,40,1,1
659,14,47,3,0
660,14,56,3,0
661,14,33,3,0
662,14,85,2,0
663,14,32,1,1
664,27,22,3,0
665,14,27,1,0
666,14,62,1,0
667,14,47,1,0
668,14,64,2,0
669,14,39,1,0
670,14,32,1,1
671,14,27,3,0
672,14,49,1,1
673,14,22,1,0
674,14,45,2,0
675,14,21,3,0
676,14,56,1,1
677,14,33,2,0
678,14,82,2,1
679,14,45,3,0
680,14,45,2,1
681,14,21,1,0
682,14,26,1,0
683,14,61,1,0
684,14,24,1,0
685,14,26,2,0
686,14,52,3,0
687,14,61,2,0
688,14,44,2,0
689,14,40,3,1
690,14,34,2,1
691,14,37,1,0
692,14,30,2,0
693,14,52,3,0
694,14,20,1,0
695,14,46,1,1
